  Grid,   Temperature,   Uvec,   CO,    CO2
   1.066e-02,   2.054e+03,   2.360e+00,   8.714e-02,   1.105e-01
   1.071e-02,   2.057e+03,   2.363e+00,   8.680e-02,   1.112e-01
   1.081e-02,   2.064e+03,   2.369e+00,   8.637e-02,   1.120e-01
   1.091e-02,   2.069e+03,   2.375e+00,   8.613e-02,   1.125e-01
   1.101e-02,   2.073e+03,   2.379e+00,   8.599e-02,   1.127e-01
   1.111e-02,   2.077e+03,   2.383e+00,   8.593e-02,   1.128e-01
   1.131e-02,   2.083e+03,   2.390e+00,   8.590e-02,   1.129e-01
   1.152e-02,   2.088e+03,   2.395e+00,   8.593e-02,   1.129e-01
   1.172e-02,   2.093e+03,   2.399e+00,   8.598e-02,   1.128e-01
   1.192e-02,   2.096e+03,   2.403e+00,   8.602e-02,   1.127e-01
   1.212e-02,   2.099e+03,   2.406e+00,   8.607e-02,   1.126e-01
   1.232e-02,   2.102e+03,   2.409e+00,   8.611e-02,   1.126e-01
   1.253e-02,   2.104e+03,   2.411e+00,   8.614e-02,   1.125e-01
   1.273e-02,   2.106e+03,   2.413e+00,   8.618e-02,   1.125e-01
   1.293e-02,   2.107e+03,   2.415e+00,   8.621e-02,   1.124e-01
   1.313e-02,   2.109e+03,   2.416e+00,   8.623e-02,   1.124e-01
   1.333e-02,   2.110e+03,   2.417e+00,   8.625e-02,   1.123e-01
   1.354e-02,   2.111e+03,   2.419e+00,   8.627e-02,   1.123e-01
   1.374e-02,   2.112e+03,   2.420e+00,   8.629e-02,   1.123e-01
   1.394e-02,   2.113e+03,   2.420e+00,   8.631e-02,   1.122e-01
   1.414e-02,   2.114e+03,   2.421e+00,   8.632e-02,   1.122e-01
   1.434e-02,   2.114e+03,   2.422e+00,   8.634e-02,   1.122e-01
   1.455e-02,   2.115e+03,   2.423e+00,   8.635e-02,   1.122e-01
   1.475e-02,   2.115e+03,   2.423e+00,   8.636e-02,   1.121e-01
   1.495e-02,   2.116e+03,   2.424e+00,   8.637e-02,   1.121e-01
   1.515e-02,   2.116e+03,   2.424e+00,   8.638e-02,   1.121e-01
   1.535e-02,   2.117e+03,   2.425e+00,   8.639e-02,   1.121e-01
   1.556e-02,   2.117e+03,   2.425e+00,   8.639e-02,   1.121e-01
   1.576e-02,   2.118e+03,   2.425e+00,   8.640e-02,   1.121e-01
   1.596e-02,   2.118e+03,   2.426e+00,   8.641e-02,   1.121e-01
   1.616e-02,   2.118e+03,   2.426e+00,   8.641e-02,   1.121e-01
   1.636e-02,   2.118e+03,   2.426e+00,   8.642e-02,   1.121e-01
   1.657e-02,   2.119e+03,   2.427e+00,   8.642e-02,   1.120e-01
   1.677e-02,   2.119e+03,   2.427e+00,   8.643e-02,   1.120e-01
   1.697e-02,   2.119e+03,   2.427e+00,   8.643e-02,   1.120e-01
   1.717e-02,   2.119e+03,   2.427e+00,   8.644e-02,   1.120e-01
   1.737e-02,   2.120e+03,   2.427e+00,   8.644e-02,   1.120e-01
   1.758e-02,   2.120e+03,   2.428e+00,   8.644e-02,   1.120e-01
   1.778e-02,   2.120e+03,   2.428e+00,   8.645e-02,   1.120e-01
   1.798e-02,   2.120e+03,   2.428e+00,   8.645e-02,   1.120e-01
   1.818e-02,   2.120e+03,   2.428e+00,   8.645e-02,   1.120e-01
   1.838e-02,   2.120e+03,   2.428e+00,   8.646e-02,   1.120e-01
   1.859e-02,   2.120e+03,   2.428e+00,   8.646e-02,   1.120e-01
   1.879e-02,   2.120e+03,   2.428e+00,   8.646e-02,   1.120e-01
   1.899e-02,   2.121e+03,   2.428e+00,   8.646e-02,   1.120e-01
   1.919e-02,   2.121e+03,   2.429e+00,   8.647e-02,   1.120e-01
   1.939e-02,   2.121e+03,   2.429e+00,   8.647e-02,   1.120e-01
   1.960e-02,   2.121e+03,   2.429e+00,   8.647e-02,   1.120e-01
   1.980e-02,   2.121e+03,   2.429e+00,   8.647e-02,   1.120e-01
   2.000e-02,   2.121e+03,   2.429e+00,   8.647e-02,   1.120e-01
