  Grid,   Temperature,   Uvec,   CO,    CO2
   3.004e-02,   3.200e+02,   5.059e-01,   2.413e-16,   8.536e-17
   3.016e-02,   3.200e+02,   5.059e-01,   3.142e-16,   1.226e-16
   3.029e-02,   3.200e+02,   5.059e-01,  -7.381e-17,  -3.208e-17
   3.041e-02,   3.200e+02,   5.059e-01,  -1.717e-16,  -7.764e-17
   3.054e-02,   3.200e+02,   5.059e-01,   1.564e-16,   5.530e-17
   3.066e-02,   3.200e+02,   5.059e-01,   5.577e-17,   1.123e-17
   3.079e-02,   3.200e+02,   5.059e-01,   2.941e-16,   1.115e-16
   3.091e-02,   3.200e+02,   5.059e-01,   6.390e-17,   2.181e-17
   3.104e-02,   3.200e+02,   5.059e-01,  -9.743e-17,  -4.738e-17
   3.116e-02,   3.200e+02,   5.059e-01,   1.312e-16,   4.348e-17
   3.129e-02,   3.200e+02,   5.059e-01,   1.842e-16,   6.682e-17
   3.141e-02,   3.200e+02,   5.059e-01,   9.574e-17,   3.348e-17
   3.154e-02,   3.200e+02,   5.059e-01,  -7.655e-17,  -4.172e-17
   3.166e-02,   3.200e+02,   5.059e-01,   2.244e-16,   7.677e-17
   3.179e-02,   3.200e+02,   5.059e-01,   3.367e-16,   1.240e-16
   3.191e-02,   3.200e+02,   5.059e-01,   2.969e-16,   1.148e-16
   3.204e-02,   3.200e+02,   5.059e-01,  -9.922e-17,  -4.609e-17
   3.217e-02,   3.200e+02,   5.059e-01,  -5.692e-18,  -1.059e-17
   3.229e-02,   3.200e+02,   5.059e-01,   3.801e-17,   4.106e-18
   3.242e-02,   3.200e+02,   5.059e-01,   1.164e-16,   3.459e-17
   3.254e-02,   3.200e+02,   5.059e-01,   5.732e-17,   7.993e-18
   3.267e-02,   3.200e+02,   5.059e-01,   7.453e-17,   1.128e-17
   3.279e-02,   3.200e+02,   5.059e-01,  -1.093e-17,  -3.279e-17
   3.292e-02,   3.200e+02,   5.059e-01,   2.139e-16,   5.205e-17
   3.304e-02,   3.200e+02,   5.059e-01,  -5.858e-17,  -7.555e-17
   3.317e-02,   3.200e+02,   5.059e-01,   3.980e-16,   1.038e-16
   3.329e-02,   3.200e+02,   5.059e-01,  -4.512e-16,  -2.705e-16
   3.342e-02,   3.200e+02,   5.059e-01,   8.682e-17,  -8.908e-17
   3.354e-02,   3.200e+02,   5.059e-01,   8.422e-17,  -1.392e-16
   3.367e-02,   3.200e+02,   5.059e-01,   4.946e-16,  -2.143e-17
   3.379e-02,   3.200e+02,   5.059e-01,  -5.096e-17,  -3.125e-16
   3.392e-02,   3.200e+02,   5.059e-01,  -1.782e-16,  -4.622e-16
   3.404e-02,   3.200e+02,   5.059e-01,  -1.620e-16,  -5.861e-16
   3.417e-02,   3.200e+02,   5.059e-01,   1.085e-16,  -6.387e-16
   3.429e-02,   3.200e+02,   5.059e-01,   2.816e-16,  -7.605e-16
   3.442e-02,   3.200e+02,   5.059e-01,  -3.108e-16,  -1.262e-15
   3.454e-02,   3.200e+02,   5.059e-01,   4.603e-16,  -1.254e-15
   3.467e-02,   3.200e+02,   5.059e-01,   3.757e-17,  -1.795e-15
   3.479e-02,   3.200e+02,   5.059e-01,  -7.534e-16,  -2.599e-15
   3.492e-02,   3.200e+02,   5.059e-01,   1.995e-16,  -2.782e-15
   3.504e-02,   3.200e+02,   5.059e-01,  -3.562e-17,  -3.558e-15
   3.517e-02,   3.200e+02,   5.059e-01,  -3.400e-16,  -4.501e-15
   3.529e-02,   3.200e+02,   5.059e-01,  -5.920e-16,  -5.589e-15
   3.542e-02,   3.200e+02,   5.059e-01,  -3.767e-16,  -6.664e-15
   3.554e-02,   3.200e+02,   5.059e-01,  -6.897e-16,  -8.166e-15
   3.567e-02,   3.200e+02,   5.059e-01,  -4.197e-16,  -9.652e-15
   3.579e-02,   3.200e+02,   5.059e-01,  -1.274e-15,  -1.188e-14
   3.592e-02,   3.200e+02,   5.059e-01,  -6.293e-16,  -1.378e-14
   3.605e-02,   3.200e+02,   5.059e-01,  -1.293e-15,  -1.655e-14
   3.617e-02,   3.200e+02,   5.059e-01,  -1.732e-15,  -1.960e-14
   3.630e-02,   3.200e+02,   5.059e-01,  -1.501e-15,  -2.279e-14
   3.642e-02,   3.200e+02,   5.059e-01,  -2.291e-15,  -2.685e-14
   3.655e-02,   3.200e+02,   5.059e-01,  -2.292e-15,  -3.108e-14
   3.667e-02,   3.200e+02,   5.059e-01,  -2.541e-15,  -3.595e-14
   3.680e-02,   3.200e+02,   5.059e-01,  -3.317e-15,  -4.162e-14
   3.692e-02,   3.200e+02,   5.059e-01,  -3.523e-15,  -4.770e-14
   3.705e-02,   3.200e+02,   5.059e-01,  -4.585e-15,  -5.483e-14
