  Grid,   Temperature,   Uvec,   CO,    CO2
   1.014e-02,   1.744e+03,   2.362e+00,   5.241e-02,   8.284e-02
   1.015e-02,   1.750e+03,   2.371e+00,   5.206e-02,   8.418e-02
   1.015e-02,   1.756e+03,   2.379e+00,   5.169e-02,   8.550e-02
   1.016e-02,   1.762e+03,   2.386e+00,   5.129e-02,   8.680e-02
   1.016e-02,   1.768e+03,   2.393e+00,   5.087e-02,   8.808e-02
   1.016e-02,   1.773e+03,   2.400e+00,   5.043e-02,   8.934e-02
   1.017e-02,   1.778e+03,   2.406e+00,   4.997e-02,   9.058e-02
   1.017e-02,   1.783e+03,   2.412e+00,   4.950e-02,   9.180e-02
   1.018e-02,   1.792e+03,   2.423e+00,   4.852e-02,   9.417e-02
   1.019e-02,   1.800e+03,   2.433e+00,   4.750e-02,   9.645e-02
   1.020e-02,   1.807e+03,   2.442e+00,   4.647e-02,   9.865e-02
   1.021e-02,   1.814e+03,   2.450e+00,   4.544e-02,   1.008e-01
   1.022e-02,   1.820e+03,   2.457e+00,   4.441e-02,   1.028e-01
   1.023e-02,   1.826e+03,   2.464e+00,   4.340e-02,   1.047e-01
   1.023e-02,   1.832e+03,   2.470e+00,   4.241e-02,   1.066e-01
   1.024e-02,   1.837e+03,   2.477e+00,   4.145e-02,   1.083e-01
   1.026e-02,   1.848e+03,   2.488e+00,   3.961e-02,   1.116e-01
   1.028e-02,   1.857e+03,   2.498e+00,   3.791e-02,   1.146e-01
   1.030e-02,   1.866e+03,   2.508e+00,   3.634e-02,   1.173e-01
   1.031e-02,   1.874e+03,   2.517e+00,   3.491e-02,   1.198e-01
   1.035e-02,   1.889e+03,   2.534e+00,   3.243e-02,   1.240e-01
   1.038e-02,   1.903e+03,   2.550e+00,   3.038e-02,   1.274e-01
   1.042e-02,   1.916e+03,   2.564e+00,   2.867e-02,   1.303e-01
   1.049e-02,   1.939e+03,   2.590e+00,   2.611e-02,   1.346e-01
   1.056e-02,   1.959e+03,   2.613e+00,   2.425e-02,   1.376e-01
   1.062e-02,   1.976e+03,   2.633e+00,   2.284e-02,   1.399e-01
   1.069e-02,   1.992e+03,   2.651e+00,   2.173e-02,   1.417e-01
   1.076e-02,   2.005e+03,   2.668e+00,   2.083e-02,   1.432e-01
   1.083e-02,   2.018e+03,   2.682e+00,   2.006e-02,   1.444e-01
   1.090e-02,   2.029e+03,   2.695e+00,   1.939e-02,   1.455e-01
   1.097e-02,   2.039e+03,   2.707e+00,   1.879e-02,   1.464e-01
   1.111e-02,   2.056e+03,   2.727e+00,   1.777e-02,   1.481e-01
   1.125e-02,   2.070e+03,   2.744e+00,   1.688e-02,   1.495e-01
   1.139e-02,   2.083e+03,   2.758e+00,   1.609e-02,   1.507e-01
   1.167e-02,   2.102e+03,   2.781e+00,   1.478e-02,   1.528e-01
   1.194e-02,   2.118e+03,   2.799e+00,   1.369e-02,   1.545e-01
   1.222e-02,   2.131e+03,   2.814e+00,   1.277e-02,   1.560e-01
   1.278e-02,   2.149e+03,   2.834e+00,   1.136e-02,   1.582e-01
   1.333e-02,   2.162e+03,   2.849e+00,   1.029e-02,   1.599e-01
   1.444e-02,   2.179e+03,   2.868e+00,   8.875e-03,   1.621e-01
   1.556e-02,   2.190e+03,   2.881e+00,   7.916e-03,   1.636e-01
   1.778e-02,   2.202e+03,   2.894e+00,   6.909e-03,   1.652e-01
   2.000e-02,   2.202e+03,   2.894e+00,   6.909e-03,   1.652e-01
